date,Open,High,Low,Close,Adj Close,Volume
2020/2/18,2125.02002,2166.070068,2124.110107,2155.669922,2155.669922,2945600
2020/2/19,2167.800049,2185.100098,2161.120117,2170.219971,2170.219971,2561200
2020/2/20,2173.070068,2176.790039,2127.449951,2153.100098,2153.100098,3131300
2020/2/21,2142.149902,2144.550049,2088,2095.969971,2095.969971,4646300
2020/2/24,2003.180054,2039.300049,1987.969971,2009.290039,2009.290039,6547000
2020/2/25,2026.420044,2034.599976,1958.420044,1972.73999,1972.73999,6219100
2020/2/26,1970.280029,2014.670044,1960.449951,1979.589966,1979.589966,5224600
2020/2/27,1934.380005,1975,1882.76001,1884.300049,1884.300049,8144000
2020/2/28,1814.630005,1889.76001,1811.130005,1883.75,1883.75,9493800
2020/3/2,1906.48999,1954.51001,1870,1953.949951,1953.949951,6761700
2020/3/3,1975.369995,1996.329956,1888.089966,1908.98999,1908.98999,7534500
2020/3/4,1946.569946,1978,1922,1975.829956,1975.829956,4772900
2020/3/5,1933,1960.719971,1910,1924.030029,1924.030029,4748200
2020/3/6,1875,1910.869995,1869.5,1901.089966,1901.089966,5273600
2020/3/9,1773.859985,1862.77002,1761.290039,1800.609985,1800.609985,7813200
2020/3/10,1870.880005,1894.27002,1818.170044,1891.819946,1891.819946,7133300
2020/3/11,1857.849976,1871.319946,1801.5,1820.859985,1820.859985,5624800
2020/3/12,1721.97998,1765,1675,1676.609985,1676.609985,11346200
2020/3/13,1755,1786.310059,1680.619995,1785,1785,8809700
2020/3/16,1641.51001,1759.449951,1626.030029,1689.150024,1689.150024,8917300
2020/3/17,1775.469971,1857.780029,1689.23999,1807.839966,1807.839966,10917100
2020/3/18,1750,1841.660034,1745,1830,1830,9645200
2020/3/19,1860,1945,1832.650024,1880.930054,1880.930054,10399900
2020/3/20,1926.310059,1957,1820.72998,1846.089966,1846.089966,9817900
2020/3/23,1827.75,1919.400024,1812,1902.829956,1902.829956,7808500
2020/3/24,1951.5,1955,1900.339966,1940.099976,1940.099976,7147100
2020/3/25,1920.689941,1950.26001,1885.780029,1885.839966,1885.839966,6479100
2020/3/26,1902,1956.48999,1889.290039,1955.48999,1955.48999,6221300
2020/3/27,1930.859985,1939.790039,1899.920044,1900.099976,1900.099976,5387900
2020/3/30,1922.829956,1973.630005,1912.339966,1963.949951,1963.949951,6126100
